Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	1773027475653	0	1773027475653
GUPS	LP-LDI	1759692086090	0	1759692086090
GUPS	LP-LDI+W	1786374830975	0	1786374830975
