Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	1798147232292	0	1798147232292
GUPS	LP-LDI	4382471979510	0	4382471979510
GUPS	LP-LDI+W	4218422318750	0	4218422318750
